Model,MAE,RMSE,R2,Bias
TsHARP,1.711401068860141e-06,2.5889872249628083e-06,1.0,3.0187245e-08
Random Forest,0.6373070478439331,0.828624898349159,0.6908798217773438,0.04580944
XGBoost,0.6431795358657837,0.8364173011327637,0.6850385665893555,0.035703856
