,Min (°C),Max (°C),Mean (°C),Std Dev (°C),Thermal Range (°C)
Original 90 m,32.28329086303711,44.784114837646484,39.171636414798094,1.4903707196678444,12.500823974609375
TsHARP 30 m,30.975879669189453,45.252349853515625,39.17682250334114,1.539358024229551,14.276470184326172
RF 30 m,33.0905647277832,44.17073440551758,39.22078832386747,1.353049325227477,11.080169677734375
XGB 30 m,33.60115051269531,44.46719741821289,39.21047272649947,1.3262927873571275,10.866046905517578
